place_id,name,url,average_rating_5,visitor_review_count,blog_review_count
19637817,모드락572,https://place.map.kakao.com/19637817,4.6,14,4
23571929,바다는안보여요,https://place.map.kakao.com/23571929,,0,25
18815393,와랑와랑,https://place.map.kakao.com/18815393,4.4,107,100
26984197,지오아라펜션,https://place.map.kakao.com/26984197,5.0,6,197
17880473,카페코지,https://place.map.kakao.com/17880473,3.9,34,39
609663252,송당나무가드닝센터,https://place.map.kakao.com/609663252,4.1,42,12
775734317,허니문하우스,https://place.map.kakao.com/775734317,4.3,319,501
19639423,카페서연의집,https://place.map.kakao.com/19639423,3.7,134,113
1603328404,드르쿰다 제주성산점,https://place.map.kakao.com/1603328404,3.5,125,221
410283209,스마일러펫,https://place.map.kakao.com/410283209,3.8,4,9
2009325066,아트인명도암,https://place.map.kakao.com/2009325066,4.0,30,17
11539852,하우스레서피 당근케이크,https://place.map.kakao.com/11539852,3.4,57,4
26884074,구좌상회,https://place.map.kakao.com/26884074,3.7,103,228
693016371,윈드스톤,https://place.map.kakao.com/693016371,4.5,58,134
1176884672,목장카페 드르쿰다 표선,https://place.map.kakao.com/1176884672,3.1,122,399
1407871842,인디고트리,https://place.map.kakao.com/1407871842,4.6,31,9
787387135,제주살롱,https://place.map.kakao.com/787387135,4.3,15,13
923804248,카페 모알보알,https://place.map.kakao.com/923804248,,0,604
99092488,커피템플,https://place.map.kakao.com/99092488,4.2,288,796
1441787320,카페아오오,https://place.map.kakao.com/1441787320,4.4,117,830
26867476,델문도,https://place.map.kakao.com/26867476,3.2,646,843
1843119686,에오마르,https://place.map.kakao.com/1843119686,,0,222
979505096,휴일로,https://place.map.kakao.com/979505096,4.1,195,350
1886872931,카페리,https://place.map.kakao.com/1886872931,,0,103
1402392615,아날로그사운즈,https://place.map.kakao.com/1402392615,4.1,8,61
688685012,제주돌창고,https://place.map.kakao.com/688685012,4.6,54,81
1148912647,사일리커피,https://place.map.kakao.com/1148912647,4.7,153,578
718346639,어니스트밀크 본점,https://place.map.kakao.com/718346639,4.6,156,261
24598037,오늘은녹차한잔,https://place.map.kakao.com/24598037,4.1,149,348
1737366648,집의기록상점,https://place.map.kakao.com/1737366648,3.2,98,654
1437167844,귤꽃다락,https://place.map.kakao.com/1437167844,,0,547
217787831,원앤온리,https://place.map.kakao.com/217787831,,0,1434
1663041096,청춘부부,https://place.map.kakao.com/1663041096,4.7,78,257
1578746387,오드랑베이커리,https://place.map.kakao.com/1578746387,4.3,688,1059
676261169,훈데르트윈즈,https://place.map.kakao.com/676261169,3.8,45,376
603794320,카페톨칸이,https://place.map.kakao.com/603794320,4.2,11,18
1039947224,오라디오라,https://place.map.kakao.com/1039947224,4.1,61,104
119385518,비케이브,https://place.map.kakao.com/119385518,4.3,50,640
633765117,무로이,https://place.map.kakao.com/633765117,3.3,96,1333
825851613,우유부단,https://place.map.kakao.com/825851613,3.6,187,111
1756924125,그럼외도,https://place.map.kakao.com/1756924125,,0,365
28741599,미쁜제과,https://place.map.kakao.com/28741599,3.1,214,729
336756812,수애기베이커리카페,https://place.map.kakao.com/336756812,4.1,108,194
21160031,유동커피,https://place.map.kakao.com/21160031,4.3,499,443
1666998566,카페루시아 본점,https://place.map.kakao.com/1666998566,4.3,185,748
263044374,미스틱3도,https://place.map.kakao.com/263044374,4.2,95,229
25746672,바람벽에흰당나귀,https://place.map.kakao.com/25746672,4.2,113,210
1003524606,외도339,https://place.map.kakao.com/1003524606,5.0,1,46
373077516,카페나모나모,https://place.map.kakao.com/373077516,,0,320
25161778,미엘드세화,https://place.map.kakao.com/25161778,4.4,95,44
587340308,비마이게스트,https://place.map.kakao.com/587340308,4.3,103,74
21607825,나비정원,https://place.map.kakao.com/21607825,4.7,50,27
460384368,보래드베이커스,https://place.map.kakao.com/460384368,4.2,244,141
1146640630,니모메,https://place.map.kakao.com/1146640630,4.1,105,284
1929732708,카페477+,https://place.map.kakao.com/1929732708,4.5,21,33
1983315941,바다다,https://place.map.kakao.com/1983315941,,0,367
1028238972,와토커피,https://place.map.kakao.com/1028238972,4.4,145,89
160318816,덴드리,https://place.map.kakao.com/160318816,4.7,37,167
337455511,모노클제주,https://place.map.kakao.com/337455511,4.0,70,335
45616760,쉬어갓,https://place.map.kakao.com/45616760,4.0,77,103
2070757323,"오른(orrrn,오알엔)",https://place.map.kakao.com/2070757323,4.0,95,282
1166960013,풀베개,https://place.map.kakao.com/1166960013,2.2,203,534
1738934843,제주그림카페,https://place.map.kakao.com/1738934843,4.2,41,46
184384827,지그라나다,https://place.map.kakao.com/184384827,3.9,21,33
26925526,블루마운틴4255,https://place.map.kakao.com/26925526,4.1,19,35
145034193,제주몹시,https://place.map.kakao.com/145034193,4.6,42,72
791617298,더리트리브,https://place.map.kakao.com/791617298,3.9,69,181
2018722964,가는곶 세화,https://place.map.kakao.com/2018722964,4.6,162,306
403954331,볼스카페,https://place.map.kakao.com/403954331,3.5,62,172
2003360746,아줄레주 (휴업중),https://place.map.kakao.com/2003360746,,0,619
573629514,친봉산장,https://place.map.kakao.com/573629514,,0,486
1830094932,카페유디에이,https://place.map.kakao.com/1830094932,3.6,85,301
213125558,카페글렌코,https://place.map.kakao.com/213125558,,0,287
26532312,쪼끌락,https://place.map.kakao.com/26532312,,0,63
1307726606,모뉴에트,https://place.map.kakao.com/1307726606,4.5,136,304
26463066,마틸다,https://place.map.kakao.com/26463066,3.7,125,212
1170785054,제레미,https://place.map.kakao.com/1170785054,4.6,166,220
481425144,골목카페옥수,https://place.map.kakao.com/481425144,,0,194
1569763514,그러므로 파트2,https://place.map.kakao.com/1569763514,4.0,113,152
1688963481,커피스케치,https://place.map.kakao.com/1688963481,4.6,131,1406
1824227168,마노커피하우스,https://place.map.kakao.com/1824227168,4.8,280,162
1756541636,안도르,https://place.map.kakao.com/1756541636,,0,645
792548083,잔물결,https://place.map.kakao.com/792548083,,0,257
2020231452,라토커피 제주,https://place.map.kakao.com/2020231452,,0,78
615161662,우호적무관심,https://place.map.kakao.com/615161662,3.9,51,57
769399654,인그리드,https://place.map.kakao.com/769399654,4.3,93,203
1914104398,감따남,https://place.map.kakao.com/1914104398,4.3,42,180
634174711,당당,https://place.map.kakao.com/634174711,3.8,144,264
670941856,인스밀,https://place.map.kakao.com/670941856,3.4,131,792
1330339693,애플망고1947,https://place.map.kakao.com/1330339693,4.3,56,205
27237081,카페콜라,https://place.map.kakao.com/27237081,4.4,97,150
