contentid,contenttypeid,title,addr1,addr2,zipcode,tel,mapx,mapy,mlevel,firstimage,firstimage2,cpyrhtDivCd,createdtime,modifiedtime,areacode,sigungucode,lDongRegnCd,lDongSignguCd,cat1,cat2,cat3,lclsSystm1,lclsSystm2,lclsSystm3
125445,12,생각하는 정원,제주특별자치도 제주시 한경면 녹차분재로 675,(한경면),63005,,126.2551643784,33.3253707254,6,https://tong.visitkorea.or.kr/cms/resource/24/4090224_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/24/4090224_image3_1.jpg,Type3,20031212090000,20260721142306,,,50,110,,,,NA,NA04,NA040700
126434,12,수월봉,제주특별자치도 제주시 한경면 고산리 3760,,63008,,126.1634201497,33.2947890147,6,http://tong.visitkorea.or.kr/cms/resource/12/3354312_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3354312_image3_1.jpg,Type3,20040226090000,20250321133133,39,4,50,110,A01,A0101,A01010400,NA,NA01,NA010100
126435,12,성산일출봉 [유네스코 세계자연유산],제주특별자치도 서귀포시 성산읍 일출로 284-12,,63643,,126.9415156012,33.4581111174,6,http://tong.visitkorea.or.kr/cms/resource/82/2944282_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/82/2944282_image3_1.bmp,Type3,20030722090000,20251121173507,39,3,50,130,A01,A0101,A01010400,NA,NA01,NA010100
126436,12,성판악,제주특별자치도 제주시 조천읍 516로 1865,,63345,,126.6203951135,33.3848945984,6,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image3_1.jpg,Type3,20030721090000,20250429170021,39,4,50,130,A01,A0101,A01010400,NA,NA01,NA010100
126437,12,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37 (동홍동),,63599,,126.5730501303,33.2447479529,6,https://tong.visitkorea.or.kr/cms/resource_photo/32/3052932_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource_photo/32/3052932_image3_1.jpg,Type1,20030908090000,20260630103645,,,50,130,,,,NA,NA01,NA010300
126438,12,천지연폭포,제주특별자치도 서귀포시 서홍동 666-1,,63594,,126.5595508450,33.2447166744,6,https://tong.visitkorea.or.kr/cms/resource/43/4094043_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/4094043_image3_1.jpg,Type1,20030908090000,20260729141814,,,50,130,,,,NA,NA01,NA010300
126439,12,천제연폭포,제주특별자치도 서귀포시 천제연로 132,(중문동),63546,,126.4184294967,33.2526559999,6,http://tong.visitkorea.or.kr/cms/resource/56/3552156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3552156_image3_1.jpg,Type1,20030925090000,20260102180026,39,3,50,130,A01,A0101,A01010800,NA,NA01,NA010300
126440,12,안덕계곡,제주특별자치도 서귀포시 안덕면 감산리,1946,63531,,126.3529100773,33.2573294533,6,http://tong.visitkorea.or.kr/cms/resource/10/3023810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3023810_image3_1.jpg,Type1,20030925090000,20250512172029,39,3,50,130,A01,A0101,A01010900,NA,NA01,NA010400
126441,12,돈내코 원앙폭포,제주특별자치도 서귀포시 돈내코로 137,,63582,,126.5820170154,33.3005255267,6,http://tong.visitkorea.or.kr/cms/resource/84/3589084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3589084_image2_1.jpg,Type1,20030908090000,20251229152311,39,3,50,130,A01,A0101,A01010900,NA,NA01,NA010400
126443,12,화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순해안로,91,63530,,126.3335149080,33.2407004292,6,http://tong.visitkorea.or.kr/cms/resource/52/3023852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3023852_image3_1.jpg,Type3,20030925090000,20250408145432,39,3,50,130,A01,A0101,A01011200,NA,NA02,NA020900
126444,12,차귀도,제주특별자치도 제주시 한경면 고락로 200-52,,63008,,126.1485,33.3116,6,https://tong.visitkorea.or.kr/cms/resource/54/3555354_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/54/3555354_image3_1.jpg,Type1,20030925090000,20260211092429,,,50,110,,,,NA,NA02,NA020500
